# From S. Gandolfi, A.Y. Illarionov, F. Pederiva, K.E. Schmidt and S. Fantoni, Phys. Rev. C 80, 045802 (2009).
# kF    E/N  err 
# fm-1  MeV  MeV
0.40  1.239  0.002
0.60  2.579  0.002
0.80  4.305  0.003
1.00  6.231  0.003
