# results in neutron matter from 
# n[fm^-3]	E_low[MeV]	E_up[MeV]
0.02   4.448   4.59
0.04   6.435   6.864
0.06   7.877   8.742
0.08   9.065  10.577
0.10  10.061  12.471
0.12  10.91   14.444
0.14  11.679  16.566
0.16  12.332  18.87
