# S. Gandolfi, G. Palkanoglou, J. Carlson, A. Gezerlis, K.E. Schmidt, Condensed Matter 7(1) (2022).
# kf (fm-1), e2effg, e2effg_err
0.1,0.7359,0.0024
0.2,0.6214,0.0018
0.3,0.5885,0.0014
0.4,0.5652,0.0007
0.5,0.5464,0.0004
0.6,0.5271,0.0003
0.7,0.5096,0.0003
0.8,0.4937,0.0003

