# V3pi + V_R (as Illinois models)
#V3pi    Vr      rho       E
0.0022  0.0125   0.08      9.712 0.013
0.0022  0.0125   0.12     12.713 0.012
0.0022  0.0125   0.16     16.012 0.016
0.0022  0.0125   0.20     19.903 0.020
0.0022  0.0125   0.24     24.436 0.032
0.0022  0.0125   0.32     35.713 0.067
0.0022  0.0125   0.40     50.902 0.062
0.0022  0.0125   0.48     70.506 0.098
