# Set   n0         E0            K0            Q0            Z0            Esym           Lsym          Ksym          Qsym         Zsym         M            Mn            Mp
PKA1  0.1600  -0.158289E+02  0.229982E+03  0.949846E+03  0.493506E+04  0.360165E+02  0.103504E+03  0.213170E+03  0.291522E+03 -0.169162E+05  0.683404E+00  0.677965E+00  0.697251E+00 
PKO1  0.1520  -0.159963E+02  0.250281E+03  0.262152E+03  0.485711E+04  0.343729E+02  0.977137E+02  0.105589E+03  0.290479E+03 -0.599253E+04  0.746249E+00  0.730614E+00  0.758369E+00 
PKO2  0.1510  -0.160269E+02  0.249530E+03 -0.103033E+02  0.670324E+04  0.324881E+02  0.759162E+02  0.774160E+02  0.820669E+03 -0.799252E+04  0.763916E+00  0.755137E+00  0.771135E+00
PKO3  0.1530  -0.160407E+02  0.262444E+03  0.354992E+03  0.458087E+04  0.329860E+02  0.829897E+02  0.116471E+03  0.690471E+03 -0.892071E+04  0.742033E+00  0.735641E+00  0.761958E+00
