#          
# GSkyrme    kF0       B0     K0     Q0         Esym    Lsym     Ksym    Qsym    m*s     m*v   
SkK180       1.325    -15.86    180   -2145.4   30.0    31.73   -246.4   461.3   1.1     0.7
SkK200       1.320    -15.85    200   -1189.1   30.0    21.93   -355.2  -145.1   1.1     0.7
SkK220       1.315    -15.82    220    -616.4   30.0     4.362  -468.3    39.47  1.1     0.7
SkK240       1.310    -15.79    240    -434.7   30.0    -4.003  -524.2   118.8   1.1     0.7
SkKM         1.335    -15.85    220    -292.2   30.0    26.94   -244.2   502.1   1.1     0.7
