# Set     n0         E0            K0            Q0            Z0            Esym           Lsym          Ksym          Qsym         Zsym         M            Mn            Mp
DDME2   0.1520  -0.161419E+02  0.251148E+03  0.479220E+03  0.444783E+04  0.323103E+02  0.512665E+02 -0.872259E+02  0.776762E+03 -0.704783E+04  0.651860E+00  0.641882E+00  0.699282E+00 
DDMEd   0.1520  -0.161205E+02  0.219077E+03 -0.748004E+03  0.395048E+04  0.323533E+02  0.528474E+02 -0.118078E+03  0.846329E+03 -0.354543E+04  0.685265E+00  0.623315E+00  0.792158E+00
DDME1   0.1520  -0.162024E+02  0.244905E+03  0.316996E+03  0.486710E+04  0.330731E+02  0.554668E+02 -0.101084E+03  0.705465E+03 -0.571672E+04  0.657451E+00  0.644698E+00  0.705985E+00
PKDD    0.1500  -0.162692E+02  0.263727E+03 -0.115839E+03  0.422671E+04  0.368832E+02  0.904144E+02 -0.810003E+02  0.229236E+02 -0.141100E+04  0.649751E+00  0.621145E+00  0.698256E+00
TW99    0.1530  -0.162472E+02  0.240253E+03 -0.539755E+03  0.374923E+04  0.327658E+02  0.553105E+02 -0.124698E+03  0.538521E+03 -0.330742E+04  0.637071E+00  0.626849E+00  0.683918E+00
