# obs, R_e, sig+, sig-, M, sig+, sig-, C, sig+, sig-, latexCite
#
1, 13.7, 2.6, 1.5, 2.08, 0.07, 0.07, , , , MCMiller:2021
2, 12.39, 1.30, 0.98, 2.072, 0.067, 0.066, , , , TERiley:2021
