# obs, R_e, sig+, sig-, M, sig+, sig-, C, sig+, sig-, spin, dist, latexCite
#      km,  km,   km,   Mo, Mo, Mo, -, -, -, Hz, pc
  1, 13.02, 1.24, 1.06, 1.44, 0.15, 0.14, , , , , , MCMiller:2019
  2, 12.71, 1.14, 1.19, 1.34, 0.15, 0.16, 0.156, 0.008, 0.010, , , TERiley:2019
  3, 14.44, 0.88, 1.05, 1.70, 0.18, 0.19, 0.179, 0.011, 0.022, , , SVinciguerra:2024
  4, 11.71, 0.88, 0.83, 1.40, 0.13, 0.12, 0.1773, 0.0056, 0.0074, , , SVinciguerra:2024
